,SiteCode,Specie,X,N,AB,DA,DoA,sindr,ssindr,major_disp,fdiam,flen,seeddiam,seedlen,wooden,Tre.size.max,blacklisted,blackwood,forest_size,effort_ha,dominio,lat_munici,altitude,PP,Temp,Lat,Longitud,ESTADIO,forest.type,ALT_RAST,TEMP_RAST,PP_RASTER,FOREST_RASTER,biomassproxi,Carbonproxi
4260,SPeec1,Sp50,4413,187,4.051982681,18.26171875,0.395701434,abiotic,anemochoric,,26,28,6,9,0.96,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,5.332462124,1.535749092
4261,SPeec1,Sp51,4414,33,0.215939915,3.22265625,0.021087882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4262,SPeec1,Sp52,4415,11,0.058959108,1.07421875,0.005757725,zoochoric,mammals,,12,10,10.7,10,0.87,9,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.025313563,0.007290306
4263,SPeec1,Sp53,4416,169,1.291730166,16.50390625,0.126145524,zoochoric,birds,NA,5.6,5.7,5.3,6.6,0.628,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.791160905,0.227854341
4264,SPeec1,Sp54,4417,19,0.059354449,1.85546875,0.005796333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4265,SPeec1,Sp55,4418,1,0.050929582,0.09765625,0.004973592,zoochoric,birds,,18,25,11.4,16,0.83,12,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.027728211,0.007985725
4266,SPeec1,Sp56,4419,13,0.112405168,1.26953125,0.010977067,zoochoric,birds,,12.46,12.8,10,11.7,0.92,20,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.107940402,0.031086836
4267,SPeec1,Sp57,4420,5,0.052507921,0.48828125,0.005127727,zoochoric,mixed,,10,14,1.2,1.6,0.45,5,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,0.006775664,0.001951391
4268,SPeec1,Sp58,4421,6,4.342610263,0.5859375,0.424083034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,NA,NA
4269,SPeec1,Sp59,4422,5,4.461224463,0.48828125,0.435666451,zoochoric,birds,NA,12.3,14.5,0.7,1.6,0.42,30,no,no,2178.84,10.24,Florestas de Interior,-20.58699972,751,1811,23.3,-22.411236,-49.701147,primary,FES,577,207,1281,3331,2.631149686,0.75777111
